Solution exacte, Solution Gloutonne 1, Solution Gloutonne 2, Solution 2-Approximation, Solution 3/2-Approximation 
10
362,394,390,568,386
410,526,410,608,352
354,376,362,518,329
426,446,446,662,425
366,418,374,508,345
348,362,362,460,370
396,452,438,586,396
342,402,342,524,314
422,422,422,604,395
324,346,324,480,325
360,360,360,582,357
406,518,408,600,362
338,356,354,498,325
276,324,308,400,325
364,390,364,536,352
370,400,396,528,303
364,366,366,568,312
328,400,328,482,331
350,384,350,530,308
276,300,276,346,278
356,368,368,526,349
352,400,364,540,394
360,396,368,540,292
384,416,394,522,352
332,346,332,492,325
356,374,356,596,366
348,384,368,486,292
372,404,372,574,322
406,440,416,550,433
338,338,338,534,313
342,392,342,464,317
396,460,396,568,373
372,420,420,480,308
350,390,356,524,363
390,426,390,536,422
370,370,370,528,422
358,384,382,534,360
396,484,426,620,342
344,384,344,470,351
362,446,410,492,409
354,428,354,502,334
360,360,360,554,326
322,370,368,448,294
368,424,372,554,380
388,388,388,604,364
354,354,354,472,345
308,320,308,440,302
352,370,366,506,324
316,462,316,502,282
300,332,310,418,319
382,410,382,584,380
368,392,370,586,376
438,562,472,678,449
292,312,300,394,264
318,322,322,442,269
338,338,338,530,314
382,458,396,582,385
286,288,286,378,298
372,386,386,558,379
290,290,290,436,327
370,370,370,534,365
346,406,362,490,323
380,406,380,598,325
382,462,426,560,340
356,366,366,504,292
294,316,294,468,271
328,338,338,474,289
268,298,284,358,349
378,396,396,574,337
384,472,400,552,385
350,374,354,492,346
380,392,392,578,336
390,390,390,552,368
270,326,288,398,282
388,464,388,596,478
324,336,324,474,286
336,404,344,482,308
402,492,402,576,345
400,406,400,574,403
302,338,302,486,283
364,464,368,550,406
310,312,312,428,288
386,414,404,568,392
322,374,366,430,302
334,334,334,542,343
322,322,322,468,306
352,352,352,592,327
432,530,432,684,429
336,344,344,476,333
356,388,356,490,308
400,428,426,540,382
428,596,428,670,472
348,420,348,504,311
294,328,308,458,279
408,470,430,636,358
392,400,400,568,315
284,318,284,392,264
342,402,342,436,376
346,374,350,460,280
342,344,342,466,322
