Temps de résolution Backtracking, Temps de résolution Branch & Bound1 (Orienté arête),Nombre de noeuds explorés Branch & Bound1, Temps de résolution Branch & Bound2 (Orienté sommet),Nombre de noeuds explorés Branch & Bound2, Temps de résolution programmation dynamique, Temps de résolution PLNE 
8
0.001,0,69,0,122,0,
0.001,0,119,0.001,62,0,
0,0,177,0.001,178,0,
0,0,57,0,210,0,
0,0,64,0,153,0,
0.001,0,368,0,174,0,
0,0,612,0.001,379,0,
0,0,152,0.001,205,0,
0,0,219,0,91,0,
0,0,15,0.001,148,0,
0,0,226,0.001,226,0,
0.001,0,41,0,157,0,
0,0,101,0.001,507,0,
0,0,177,0.001,273,0,
0,0,418,0,40,0,
0,0,20,0.001,119,0,
0,0,779,0.001,158,0,
0.001,0,200,0,65,0,
0.001,0,226,0.001,194,0,
0,0,357,0,475,0,
0,0,7,0.001,196,0,
0,0,1,0,34,0,
0,0,90,0.001,174,0,
0.001,0,632,0.001,396,0,
0,0,126,0.001,183,0,
0,0,54,0.001,169,0,
0,0,117,0,98,0,
0,0,217,0.001,189,0,
0.001,0,175,0,199,0,
0,0,431,0,346,0,
0,0,21,0,142,0,
0,0,275,0.001,164,0,
0.001,0,19,0,265,0,
0.001,0,13,0,222,0,
0,0,333,0.001,425,0,
0.001,0,24,0.001,39,0,
0,0,6,0,79,0,
0,0,6,0,73,0,
0,0,6,0,84,0,
0,0,33,0,97,0,
0,0,2,0,92,0,
0,0,549,0.001,203,0,
0,0,19,0.001,103,0,
0.001,0,368,0,250,0,
0,0,572,0,273,0,
0,0,9,0.001,202,0,
0,0,380,0.002,478,0,
0,0,43,0,177,0,
0,0,7,0,92,0,
0,0,64,0.001,106,0,
0,0,2,0,24,0,
0,0,177,0.001,326,0,
0,0,14,0.001,116,0,
0,0,10,0,122,0,
0,0,39,0,59,0,
0,0,1174,0.001,478,0,
0,0,23,0.001,56,0,
0,0,206,0,167,0,
0,0,25,0.001,241,0,
0.001,0,1439,0,272,0,
0,0,2,0,49,0,
0,0,45,0,151,0,
0.001,0,2,0.001,321,0,
0,0,1121,0.001,387,0,
0.001,0,115,0,109,0,
0,0,114,0,85,0,
0,0,19,0,44,0,
0.002,0,469,0.001,214,0,
0,0,19,0,86,0,
0,0,17,0.001,91,0,
0,0,1146,0.003,348,0,
0,0,472,0,321,0,
0,0,160,0.001,246,0,
0,0,604,0.002,443,0,
0,0,282,0.001,300,0,
0,0,70,0,237,0,
0.001,0,169,0.001,226,0,
0,0,143,0.001,69,0,
0.001,0,219,0,255,0,
0,0,22,0.001,266,0,
0,0,69,0.001,152,0,
0,0,836,0.001,530,0,
0,0,256,0,125,0,
0,0,313,0,306,0,
0,0,54,0,51,0,
0,0,15,0.001,229,0,
0,0,23,0.001,56,0,
0,0,160,0.001,169,0,
0.001,0,2499,0.003,682,0,
0.001,0,1314,0.001,255,0,
0.001,0,325,0.001,154,0,
0.001,0,1923,0.002,667,0,
0,0,154,0,171,0,
0,0,287,0.001,333,0,
0,0,1,0,29,0,
0,0,178,0,110,0,
0,0,407,0,120,0,
0,0,1,0,23,0,
0.001,0,9,0,61,0,
0,0,278,0,342,0,
