Solution exacte, Solution Gloutonne 1, Solution Gloutonne 2, Solution 2-Approximation, Solution 3/2-Approximation, Solution 2-opt 
14
4158,5892,5396,6262,4764,4158
3416,3446,3446,5150,3660,3416
3924,4604,4134,5458,4336,3930
4486,4610,4610,6878,4486,4486
4052,4122,4122,6674,4122,4052
3922,4474,4242,6216,4324,3948
4106,5892,5388,6840,4106,4106
3404,3530,3530,5216,3404,3404
3640,3640,3640,5368,4110,3640
4420,5494,5468,6516,4866,4752
3944,5278,3944,6228,4140,3944
4184,5098,4522,6516,4478,4394
4082,4740,4570,6598,4184,4136
4052,4404,4404,6528,4564,4376
4148,4210,4210,6580,4690,4210
4582,5008,5008,6810,4638,4582
4226,4710,4682,6582,4984,4506
4342,4542,4542,5816,4822,4528
4208,5474,4894,6292,4812,4208
3894,5730,4702,5554,4124,3894
4214,4318,4294,6868,4318,4214
3972,4698,4412,6246,4172,3972
3858,4138,4104,5674,4116,3890
4384,6348,4936,7194,4384,4384
3618,4950,3628,5880,4002,3618
3752,4150,3948,6222,3752,3752
4288,4834,4758,6480,4666,4288
4528,5274,4766,7308,5060,4766
4274,4518,4274,6936,4542,4274
4570,4608,4608,7180,5104,4570
4426,5176,4898,6710,4820,4426
3754,4322,4290,5416,3932,3796
4388,5850,5534,6416,4584,4554
4114,5844,5004,7072,4502,4114
4260,4322,4260,6506,4364,4260
4396,4872,4818,6164,4572,4446
4438,4626,4606,6560,4800,4450
4364,5786,5202,7438,4726,4726
4374,4838,4616,6142,4714,4380
3276,3890,3864,5382,3276,3276
3512,4032,4030,5168,3694,3512
3854,3854,3854,5896,3976,3854
4194,4620,4620,6048,4652,4194
4214,4372,4214,6804,4372,4214
4194,5446,4860,6604,4492,4382
3820,4164,4012,5742,4172,3820
4256,5452,4868,6208,4592,4338
4280,4362,4280,6770,4302,4280
3814,3892,3892,6324,3864,3814
4214,5588,4552,6072,4226,4214
