Temps de résolution Backtracking, Temps de résolution Branch & Bound1 (Orienté arête),Nombre de noeuds explorés Branch & Bound1, Temps de résolution Branch & Bound2 (Orienté sommet),Nombre de noeuds explorés Branch & Bound2, Temps de résolution programmation dynamique, Temps de résolution PLNE 
15
2.78642,0.57999,1191883,0.0210498,450159,0.00728539,1.112
2.11468,0.168694,10027,0.00132337,26425,0.00740158,0.349
10.5233,0.390747,873347,0.0581273,1120403,0.00765759,5.115
7.32002,0.439367,823857,0.0184542,378126,0.00761782,1.034
3.1391,0.141354,102545,0.00353843,75795,0.00746511,0.087
1.71812,0.0101873,18419,0.000756918,15568,0.00729278,0.17
3.41917,0.988115,2169771,0.032582,679801,0.00748437,0.736
7.29225,0.576713,663419,0.0063491,131097,0.00762542,0.904
1.68652,0.0822095,361,0.000181042,3768,0.00747019,0.024
3.22967,0.000377535,1091,0.0011536,24860,0.00755244,0.047
2.72929,0.174044,451881,0.0194159,387978,0.00735409,0.1
3.54615,0.0583595,25609,0.00763847,157851,0.00710373,0.103
0.9829,0.00134042,1005,0.000349009,7440,0.00731024,0.081
3.61178,0.00767151,24997,0.00529957,111999,0.00747014,0.479
16.2286,19.534,31204939,0.210686,4143702,0.00773,0.793
0.904103,5.79955,631,0.00120616,24553,0.00714068,0.699
0.980885,0.00383979,12689,0.00211663,45596,0.00695108,0.074
5.15981,0.00108315,1593,0.000239704,4978,0.00732201,0.036
3.68125,0.00904516,32219,0.00756978,151300,0.00714843,0.293
6.43455,7.61222,13504757,0.299586,5954432,0.0078562,0.993
0.515688,2.54822,465,0.00112815,24347,0.00750919,0.12
0.749787,0.0018128,6051,0.0186465,397243,0.00722986,0.094
1.01704,0.00154419,4577,0.0153248,327281,0.00727177,0.687
1.65989,0.108471,335125,0.01937,396194,0.00712823,0.061
5.00428,0.0336246,1605,0.000440639,9055,0.0074483,0.293
0.58073,0.0424564,136801,0.0360163,721219,0.00703201,2.426
2.32473,0.0131109,16837,0.00755093,153812,0.00701088,0.078
1.75612,0.00154912,2255,0.000802592,17211,0.00743406,0.036
6.97166,0.597083,1395367,0.00952464,195429,0.00764226,0.039
2.03844,0.212142,37871,0.00152805,31943,0.00744782,0.505
7.16791,0.331273,775327,0.00909606,190743,0.00729874,0.442
2.04287,0.107988,9019,0.0254302,538360,0.00726633,0.898
6.84745,1.56099,3082997,0.143565,2956743,0.00753952,0.832
1.06085,0.546967,93753,0.0138001,295505,0.00721019,0.045
3.26191,0.109514,329385,0.0160412,337121,0.00766276,0.725
1.88038,0.0325469,273,0.000351858,7319,0.00733757,0.042
1.61409,0.000801567,2383,0.00117363,24668,0.00727283,0.056
2.11044,0.144951,395319,0.0208046,423309,0.00707299,1.441
5.75658,1.79971,3297331,0.0419303,855041,0.00763748,1.6
2.8693,1.61299,2521947,0.012181,239076,0.0074915,0.236
1.23636,0.387544,1963,0.00032225,6873,0.00734155,0.101
3.78734,0.000862897,2201,0.00133015,27736,0.00725734,0.614
