N, Solution Gloutonne 1, Solution Gloutonne 2, Solution 2-Approximation, Solution 3/2-Approximation, Solution 2-OPT, Solution 2-OPT Mauvais 
10,41990,41152,46254,39146,38308,41722
10,38358,38358,42242,38000,38000,37606
10,30500,30500,42090,36448,30500,37672
10,36892,36348,40866,36716,36348,36716
10,43772,42548,46380,40386,39176,39176
10,38918,38918,45832,37868,37766,37766
10,50644,38486,46452,37280,36874,44892
10,38706,38706,47532,38908,38316,40382
10,46876,42244,50528,41336,41336,40044
10,33542,33542,39450,33542,33542,33542
10,45534,39522,51744,40476,38560,41960
10,51622,43806,57264,44182,43806,46920
10,40612,38484,41040,34860,34860,36474
10,38010,37266,38040,38040,36648,37266
10,41870,33826,40474,33878,33826,33870
10,40000,38474,47518,41008,38474,43390
10,22938,21954,23230,21512,21188,20486
10,35474,35474,44216,35474,35136,35764
10,31146,31146,33760,32512,31146,31146
10,41624,39012,41324,39012,36146,38614
10,45480,43250,48236,42066,40816,42214
10,39322,39322,46642,39322,38244,37026
10,43500,38380,41364,41364,38380,38380
10,44706,44706,50898,44706,44706,47078
10,55030,50522,55030,43158,39040,40992
10,40186,39590,41958,39288,38258,38964
10,42262,42262,44896,42526,40848,40848
10,36940,30420,36524,31748,30420,32976
10,38504,36826,39338,35944,34516,34516
10,50084,39618,47158,42196,39544,44182
10,54650,39952,50586,39952,39952,44724
10,34378,33982,35886,29822,29822,29822
10,34872,34872,38562,36906,34872,36558
10,38562,34798,49986,34798,34798,34798
10,39442,36858,34328,34592,30650,30650
10,38632,37548,47238,37484,37368,38632
10,41910,37436,47278,37278,35718,40262
10,41856,35234,43226,32690,32098,32098
10,49604,36178,40564,36886,36178,36178
10,40840,40840,46108,40068,39134,41464
10,37182,36680,47766,39132,36674,42612
10,36574,36574,42348,36574,36574,36574
10,37548,37548,47474,36562,36562,36562
10,36888,36888,36160,33646,32604,34896
10,39206,38498,53332,43754,38498,42290
10,28520,28034,33118,27532,26880,27366
10,51318,49010,56238,48264,45760,48264
10,39936,39632,41594,38232,37392,37392
10,36826,34932,34932,34932,33594,33594
10,36102,33634,35906,33634,33634,33634
10,43688,41828,48130,41536,37534,36030
10,35644,35644,35874,36366,35152,35874
10,40926,34586,40556,34372,32900,33872
10,32408,32408,40528,32408,32408,32408
10,38292,38292,53224,40788,38292,40788
10,39786,37120,38886,38460,36456,37106
10,40768,34614,42576,35454,34614,34614
10,36944,31582,38712,34584,31582,33298
10,37652,37652,43274,38968,34384,34382
10,56320,43508,45170,43110,40760,40898
10,42886,39584,50282,38572,38290,38290
10,40838,40838,45310,41724,40838,42150
10,41578,39272,50330,39272,39272,45658
10,34516,34516,47024,34516,34516,34516
10,54604,48588,58458,55564,48588,52992
10,39906,39906,52728,41908,39906,49008
10,39008,39008,55122,39008,39008,39008
10,30724,29852,30186,30186,29550,29550
10,28410,28410,35358,29088,28048,28726
10,38292,36498,38292,39776,36498,36498
10,38618,38618,52820,39644,38618,40014
10,28526,28526,32994,28920,28526,28526
10,31658,31658,41840,31658,31600,34622
10,37784,37784,47988,37784,37784,37784
10,45400,41868,45926,45926,38900,40144
10,29156,29156,40612,29156,29156,29156
